date,region,category,amount,quantity,customer_id
2024-05-21,North,Electronics,66.89,4,80
2024-05-22,West,Books,368.92,4,24
2024-05-23,West,Food,168.12,2,21
2024-05-24,West,Books,100.48,3,40
2024-05-25,East,Clothing,115.42,5,62
2024-05-26,East,Food,74.97,4,70
2024-05-27,East,Clothing,23.01,4,69
2024-05-28,North,Food,83.28,3,14
2024-05-29,West,Electronics,307.1,4,42
2024-05-30,East,Electronics,138.37,2,50
2024-05-31,East,Electronics,231.93,3,61
2024-06-01,North,Books,225.81,3,4
2024-06-02,East,Clothing,83.03,4,72
2024-06-03,North,Books,163.16,6,88
2024-06-04,South,Electronics,23.24,4,75
2024-06-05,East,Clothing,293.99,7,17
2024-06-06,South,Electronics,246.72,3,85
2024-06-07,North,Books,175.71,6,57
2024-06-08,West,Books,109.8,7,90
2024-06-09,East,Books,102.13,7,48
2024-06-10,North,Electronics,247.92,4,44
2024-06-11,West,Clothing,193.83,5,45
2024-06-12,West,Clothing,82.19,4,91
2024-06-13,South,Electronics,34.06,3,80
2024-06-14,North,Clothing,26.51,6,90
2024-06-15,West,Electronics,241.14,5,33
2024-06-16,East,Clothing,104.42,3,31
2024-06-17,East,Food,128.66,1,47
2024-06-18,South,Food,119.56,1,6
2024-06-19,West,Books,30.59,6,72
2024-06-20,North,Food,23.78,7,71
2024-06-21,East,Food,83.19,2,34
2024-06-22,West,Food,68.12,3,53
2024-06-23,West,Electronics,63.36,6,14
2024-06-24,South,Food,89.28,5,16
2024-06-25,East,Food,394.22,4,43
2024-06-26,East,Books,228.25,3,73
2024-06-27,North,Food,141.51,1,74
2024-06-28,East,Food,110.43,5,81
2024-06-29,North,Clothing,119.85,6,12
2024-06-30,East,Books,177.69,3,70
2024-07-01,South,Books,97.34,4,19
2024-07-02,East,Books,189.24,8,41
2024-07-03,North,Books,116.04,6,53
2024-07-04,North,Books,390.9,4,29
2024-07-05,South,Books,84.98,2,70
2024-07-06,East,Electronics,258.95,4,59
2024-07-07,East,Food,42.13,5,89
2024-07-08,South,Books,63.79,2,64
2024-07-09,East,Food,327.34,4,24
2024-07-10,East,Food,157.04,4,89
2024-07-11,North,Electronics,121.5,5,16
2024-07-12,East,Books,429.73,2,52
2024-07-13,East,Clothing,83.04,3,80
2024-07-14,South,Electronics,230.71,4,6
2024-07-15,South,Clothing,267.7,3,37
2024-07-16,West,Food,345.22,2,85
2024-07-17,North,Food,38.66,2,4
2024-07-18,East,Electronics,87.63,4,98
2024-07-19,East,Electronics,152.32,1,92
2024-07-20,West,Clothing,341.9,4,38
2024-07-21,East,Books,127.59,2,41
2024-07-22,North,Clothing,254.73,2,92
2024-07-23,West,Electronics,30.36,8,81
2024-07-24,North,Clothing,91.88,4,14
2024-07-25,West,Electronics,310.83,3,71
2024-07-26,West,Clothing,73.74,5,86
2024-07-27,South,Electronics,122.19,5,51
2024-07-28,North,Electronics,307.43,1,65
2024-07-29,East,Electronics,59.09,4,93
2024-07-30,East,Books,59.8,4,52
2024-07-31,North,Clothing,33.86,8,95
2024-08-01,East,Clothing,248.12,4,30
2024-08-02,East,Clothing,194.98,3,57
2024-08-03,North,Electronics,169.63,5,79
2024-08-04,West,Clothing,95.32,3,82
2024-08-05,North,Clothing,30.94,3,99
2024-08-06,West,Electronics,22.61,4,30
2024-08-07,East,Food,306.18,1,98
2024-08-08,East,Electronics,130.62,1,42
2024-08-09,East,Clothing,170.03,4,11
2024-08-10,South,Electronics,106.49,5,27
2024-08-11,West,Food,48.11,7,24
2024-08-12,South,Electronics,74.12,5,99
2024-08-13,South,Clothing,42.5,3,39
2024-08-14,North,Food,34.56,3,72
2024-08-15,South,Books,165.74,9,18
2024-08-16,North,Clothing,18.98,5,77
2024-08-17,North,Food,37.19,4,45
2024-08-18,South,Food,103.55,2,88
2024-08-19,West,Books,124.61,3,87
2024-08-20,West,Electronics,34.84,2,12
2024-08-21,West,Electronics,140.43,4,49
2024-08-22,West,Clothing,112.37,5,94
2024-08-23,West,Books,288.29,1,31
2024-08-24,South,Electronics,106.4,3,92
2024-08-25,South,Books,142.05,6,22
2024-08-26,East,Electronics,51.05,6,44
2024-08-27,West,Food,50.53,4,92
2024-08-28,South,Electronics,29.41,2,64
2024-08-29,East,Books,54.33,4,77
2024-08-30,West,Food,87.85,3,25
2024-08-31,North,Food,198.63,6,51
2024-09-01,East,Food,44.44,2,7
2024-09-02,South,Books,439.13,4,6
2024-09-03,North,Clothing,140.95,4,24
2024-09-04,North,Clothing,132.36,5,19
2024-09-05,North,Clothing,123.46,3,83
2024-09-06,East,Books,79.95,3,9
2024-09-07,South,Food,54.44,2,36
2024-09-08,North,Clothing,27.95,1,40
2024-09-09,West,Books,47.75,3,93
2024-09-10,North,Clothing,307.91,3,24
2024-09-11,North,Electronics,176.25,2,48
2024-09-12,East,Clothing,255.21,6,63
2024-09-13,East,Clothing,65.99,8,69
2024-09-14,South,Food,41.96,3,53
2024-09-15,West,Books,91.72,3,54
2024-09-16,East,Food,56.23,3,42
2024-09-17,North,Food,112.95,2,45
2024-09-18,South,Food,22.2,3,90
2024-09-19,North,Food,9.91,3,14
2024-09-20,North,Food,135.14,6,29
2024-09-21,East,Clothing,282.12,1,6
2024-09-22,South,Food,160.05,4,7
2024-09-23,West,Food,128.37,3,37
2024-09-24,West,Books,106.83,6,53
2024-09-25,East,Electronics,116.47,4,18
2024-09-26,East,Clothing,29.07,6,87
2024-09-27,South,Clothing,57.02,7,38
2024-09-28,West,Clothing,255.12,4,59
2024-09-29,West,Food,89.6,6,1
2024-09-30,West,Food,270.09,3,68
2024-10-01,North,Food,107.39,1,44
2024-10-02,West,Books,122.28,7,47
2024-10-03,North,Electronics,92.2,6,35
2024-10-04,South,Food,206.13,4,87
2024-10-05,North,Electronics,233.47,7,91
2024-10-06,South,Books,50.04,4,60
2024-10-07,West,Clothing,25.85,2,90
2024-10-08,West,Food,15.09,1,52
2024-10-09,South,Electronics,165.34,3,8
2024-10-10,East,Electronics,138.36,3,80
2024-10-11,South,Food,459.47,5,41
2024-10-12,East,Clothing,125.91,6,3
2024-10-13,North,Clothing,91.05,2,96
2024-10-14,North,Clothing,145.58,5,69
2024-10-15,North,Books,127.41,4,84
2024-10-16,West,Electronics,84.45,3,14
2024-10-17,North,Electronics,53.31,4,96
2024-10-18,East,Electronics,117.63,3,26
2024-10-19,North,Books,87.96,4,70
2024-10-20,South,Electronics,89.75,6,58
2024-10-21,South,Books,218.48,3,40
2024-10-22,West,Clothing,91.37,6,51
2024-10-23,South,Food,30.94,2,5
2024-10-24,East,Electronics,64.3,1,77
2024-10-25,North,Electronics,89.42,5,32
2024-10-26,West,Clothing,115.1,7,80
2024-10-27,North,Food,136.48,5,1
2024-10-28,North,Books,111.76,4,77
2024-10-29,East,Food,11.62,6,54
2024-10-30,South,Clothing,36.06,3,11
2024-10-31,South,Clothing,137.43,3,53
2024-11-01,North,Food,90.37,3,8
2024-11-02,West,Books,101.95,5,25
2024-11-03,South,Books,72.25,4,40
2024-11-04,West,Electronics,55.11,6,32
2024-11-05,South,Books,71.26,3,88
2024-11-06,West,Food,133.0,3,28
2024-11-07,East,Clothing,95.46,4,78
2024-11-08,West,Electronics,235.46,4,3
2024-11-09,East,Electronics,29.01,5,91
2024-11-10,East,Clothing,29.03,2,84
2024-11-11,West,Books,74.63,1,79
2024-11-12,East,Clothing,146.51,2,62
2024-11-13,North,Books,199.44,5,27
2024-11-14,East,Clothing,60.82,4,45
2024-11-15,South,Food,3.15,5,92
2024-11-16,West,Books,67.52,2,25
2024-11-17,North,Food,158.29,6,61
2024-11-18,West,Electronics,115.12,4,44
2024-11-19,South,Clothing,137.68,5,97
2024-11-20,South,Electronics,249.76,5,46
2024-11-21,South,Electronics,81.62,5,14
2024-11-22,East,Electronics,64.18,2,8
2024-11-23,East,Electronics,55.0,5,48
2024-11-24,West,Clothing,25.24,4,14
2024-11-25,West,Electronics,18.72,3,65
2024-11-26,North,Clothing,47.19,6,80
2024-11-27,North,Clothing,244.14,5,82
2024-11-28,West,Food,188.78,4,7
2024-11-29,East,Books,73.09,5,79
2024-11-30,South,Books,432.56,5,88
2024-12-01,West,Clothing,53.83,4,49
2024-12-02,North,Food,244.32,2,55
2024-12-03,East,Clothing,270.66,3,13
2024-12-04,West,Clothing,122.16,1,73
2024-12-05,West,Clothing,58.17,5,56
2024-12-06,East,Food,90.41,2,56
2024-12-07,West,Books,97.75,6,15
2024-12-08,East,Food,26.48,2,57
2024-12-09,South,Electronics,38.67,5,58
2024-12-10,East,Food,36.23,2,35
2024-12-11,East,Food,178.86,7,88
2024-12-12,East,Food,229.15,5,97
2024-12-13,West,Food,171.27,2,16
2024-12-14,West,Books,228.55,4,8
2024-12-15,East,Electronics,46.76,4,93
2024-12-16,West,Books,79.83,5,87
2024-12-17,North,Books,82.82,3,45
2024-12-18,North,Food,151.09,5,95
2024-12-19,West,Clothing,72.46,4,40
2024-12-20,West,Clothing,219.78,4,54
2024-12-21,East,Books,271.02,3,14
2024-12-22,South,Books,170.5,5,59
2024-12-23,West,Food,67.21,4,94
2024-12-24,North,Books,40.66,2,53
2024-12-25,East,Food,35.77,2,27
2024-12-26,West,Clothing,11.63,3,47
2024-12-27,North,Clothing,87.68,3,80
2024-12-28,North,Electronics,87.23,2,6
2024-12-29,South,Clothing,221.4,7,55
2024-12-30,East,Books,64.1,3,97
2024-12-31,East,Clothing,91.3,6,44
2025-01-01,South,Food,105.52,8,18
2025-01-02,South,Clothing,121.29,6,16
2025-01-03,East,Electronics,179.01,5,12
2025-01-04,East,Clothing,116.51,4,20
2025-01-05,West,Food,34.81,5,45
2025-01-06,West,Food,120.88,2,64
2025-01-07,South,Books,48.56,3,59
2025-01-08,West,Clothing,234.55,5,93
2025-01-09,North,Food,94.77,2,94
2025-01-10,West,Electronics,102.34,5,90
2025-01-11,West,Books,530.4,7,22
2025-01-12,North,Electronics,149.96,4,97
2025-01-13,South,Clothing,144.03,2,47
2025-01-14,North,Clothing,85.21,3,29
2025-01-15,West,Clothing,28.97,5,86
2025-01-16,South,Books,83.95,4,45
2025-01-17,West,Food,55.48,2,77
2025-01-18,North,Books,292.17,8,9
2025-01-19,North,Electronics,153.35,3,24
2025-01-20,West,Books,198.63,6,15
2025-01-21,East,Electronics,69.1,7,36
2025-01-22,East,Books,47.25,2,13
2025-01-23,North,Food,177.48,1,91
2025-01-24,North,Electronics,48.97,3,44
2025-01-25,East,Clothing,85.19,4,71
2025-01-26,East,Clothing,300.69,6,72
2025-01-27,West,Books,62.1,1,78
2025-01-28,West,Clothing,21.42,1,76
2025-01-29,East,Electronics,19.1,4,36
2025-01-30,West,Clothing,23.42,5,61
2025-01-31,West,Food,269.6,4,81
2025-02-01,South,Food,58.7,5,40
2025-02-02,West,Books,447.39,4,93
2025-02-03,North,Electronics,231.2,6,27
2025-02-04,West,Food,431.61,7,1
2025-02-05,West,Food,224.71,4,34
2025-02-06,East,Electronics,187.33,5,68
2025-02-07,North,Clothing,46.32,2,88
2025-02-08,West,Clothing,108.53,4,21
2025-02-09,West,Books,183.28,4,33
2025-02-10,South,Clothing,187.09,3,7
2025-02-11,West,Electronics,41.62,5,65
2025-02-12,West,Food,105.28,4,3
2025-02-13,South,Clothing,112.67,6,51
2025-02-14,East,Books,103.7,4,79
2025-02-15,West,Clothing,37.76,4,95
2025-02-16,South,Electronics,307.39,3,54
2025-02-17,North,Books,103.05,1,80
2025-02-18,East,Clothing,35.66,5,74
2025-02-19,North,Books,371.8,4,93
2025-02-20,North,Electronics,308.4,3,59
2025-02-21,South,Food,121.64,5,6
2025-02-22,West,Electronics,84.81,7,29
2025-02-23,South,Electronics,19.61,5,17
2025-02-24,South,Electronics,141.66,5,60
2025-02-25,South,Electronics,55.57,3,22
2025-02-26,South,Food,99.63,2,24
2025-02-27,East,Food,291.75,2,81
2025-02-28,West,Books,58.81,2,85
2025-03-01,North,Clothing,166.39,5,51
2025-03-02,North,Food,210.2,4,50
2025-03-03,West,Food,207.94,5,11
2025-03-04,North,Clothing,91.38,5,56
2025-03-05,West,Food,103.77,3,71
2025-03-06,North,Electronics,71.7,7,42
2025-03-07,South,Electronics,114.42,4,39
2025-03-08,North,Clothing,239.63,2,69
2025-03-09,West,Books,86.98,4,48
2025-03-10,West,Books,4.69,3,57
2025-03-11,West,Clothing,229.16,3,21
2025-03-12,West,Clothing,107.33,4,82
2025-03-13,West,Electronics,151.68,4,99
2025-03-14,East,Books,19.87,4,20
2025-03-15,East,Food,66.27,4,15
2025-03-16,North,Electronics,194.1,7,69
2025-03-17,West,Clothing,35.43,7,77
2025-03-18,North,Books,161.39,4,51
2025-03-19,West,Food,104.47,4,76
2025-03-20,West,Food,64.39,4,62
2025-03-21,East,Electronics,58.05,3,85
2025-03-22,East,Books,46.12,4,37
2025-03-23,South,Books,89.81,4,6
2025-03-24,East,Clothing,95.58,4,71
2025-03-25,South,Books,68.38,2,26
2025-03-26,South,Books,41.97,5,8
2025-03-27,South,Electronics,138.41,2,73
2025-03-28,South,Books,187.82,5,91
2025-03-29,South,Food,187.54,3,4
2025-03-30,North,Electronics,433.17,3,21
2025-03-31,East,Electronics,104.84,6,31
2025-04-01,South,Clothing,239.85,5,21
2025-04-02,West,Books,64.86,2,25
2025-04-03,East,Clothing,47.32,2,15
2025-04-04,East,Food,100.23,6,35
2025-04-05,South,Electronics,260.35,4,49
2025-04-06,North,Electronics,77.15,2,43
2025-04-07,South,Electronics,21.48,2,41
2025-04-08,North,Food,218.44,6,37
2025-04-09,West,Food,83.11,5,57
2025-04-10,East,Clothing,142.41,5,42
2025-04-11,West,Clothing,55.21,2,47
2025-04-12,North,Clothing,103.94,1,92
2025-04-13,North,Books,25.8,5,61
2025-04-14,West,Electronics,312.99,3,14
2025-04-15,North,Electronics,226.25,5,68
2025-04-16,West,Clothing,106.83,2,53
2025-04-17,East,Electronics,163.83,2,84
2025-04-18,West,Clothing,51.13,5,34
2025-04-19,East,Books,215.28,3,76
2025-04-20,West,Books,92.21,2,97
2025-04-21,North,Food,70.2,2,24
2025-04-22,West,Books,48.7,4,20
2025-04-23,North,Clothing,151.25,5,69
2025-04-24,West,Books,124.45,3,30
2025-04-25,West,Food,298.7,3,88
2025-04-26,South,Electronics,40.87,5,7
2025-04-27,North,Clothing,151.65,4,36
2025-04-28,South,Electronics,269.37,2,38
2025-04-29,North,Food,115.8,2,80
2025-04-30,South,Food,72.77,4,52
2025-05-01,East,Food,95.2,3,15
2025-05-02,West,Electronics,283.5,4,46
2025-05-03,North,Electronics,280.86,3,23
2025-05-04,North,Electronics,79.91,7,12
2025-05-05,West,Electronics,255.39,8,93
2025-05-06,North,Food,100.86,5,44
2025-05-07,North,Food,159.14,3,15
2025-05-08,South,Clothing,184.56,3,93
2025-05-09,North,Clothing,67.01,1,49
2025-05-10,East,Electronics,38.09,6,21
2025-05-11,East,Books,245.44,3,15
2025-05-12,West,Books,308.34,5,14
2025-05-13,North,Food,114.03,5,42
2025-05-14,West,Food,108.72,5,80
2025-05-15,East,Food,35.51,6,15
2025-05-16,North,Clothing,195.51,4,63
2025-05-17,North,Clothing,111.87,4,68
2025-05-18,West,Food,86.94,6,27
2025-05-19,East,Food,175.87,5,87
2025-05-20,North,Food,34.01,4,93
2025-05-21,West,Books,47.92,5,53
2025-05-22,East,Clothing,69.81,4,52
2025-05-23,West,Books,136.83,4,63
2025-05-24,South,Books,141.76,5,73
2025-05-25,North,Food,159.71,4,53
2025-05-26,South,Food,208.28,2,57
2025-05-27,East,Electronics,138.12,4,52
2025-05-28,South,Electronics,283.25,3,43
2025-05-29,South,Books,238.47,3,7
2025-05-30,East,Clothing,93.16,5,42
2025-05-31,West,Food,59.37,5,4
2025-06-01,South,Food,101.45,2,69
2025-06-02,West,Books,155.48,8,5
2025-06-03,South,Electronics,75.09,4,75
2025-06-04,West,Clothing,165.97,3,92
2025-06-05,East,Electronics,183.11,7,80
2025-06-06,South,Electronics,51.28,1,41
2025-06-07,East,Electronics,216.68,7,94
2025-06-08,South,Electronics,128.54,4,4
2025-06-09,East,Food,315.65,4,2
2025-06-10,East,Food,115.16,6,67
2025-06-11,South,Electronics,75.96,6,21
2025-06-12,South,Clothing,35.5,3,70
2025-06-13,South,Books,33.0,5,43
2025-06-14,North,Clothing,198.52,4,82
2025-06-15,West,Clothing,309.9,7,69
2025-06-16,North,Clothing,109.05,2,9
2025-06-17,North,Electronics,80.97,4,84
2025-06-18,East,Food,104.69,6,28
2025-06-19,South,Clothing,257.08,4,26
2025-06-20,West,Electronics,51.76,3,82
2025-06-21,East,Clothing,118.86,1,83
2025-06-22,North,Clothing,200.99,2,3
2025-06-23,South,Electronics,138.25,5,73
2025-06-24,East,Food,3.37,7,95
2025-06-25,South,Food,143.22,3,49
2025-06-26,East,Books,177.31,5,17
2025-06-27,South,Electronics,278.01,2,63
2025-06-28,North,Books,299.66,2,55
2025-06-29,West,Books,203.56,10,23
2025-06-30,North,Books,109.3,3,34
2025-07-01,West,Food,20.23,3,69
2025-07-02,South,Electronics,78.33,4,15
2025-07-03,East,Books,114.46,5,47
2025-07-04,North,Electronics,367.86,3,3
2025-07-05,West,Electronics,56.38,2,83
2025-07-06,North,Food,32.4,3,28
2025-07-07,West,Books,60.59,2,3
2025-07-08,North,Books,55.79,1,4
2025-07-09,West,Electronics,22.78,4,88
2025-07-10,West,Clothing,102.01,3,31
2025-07-11,South,Food,130.42,7,45
2025-07-12,West,Food,26.9,3,59
2025-07-13,South,Food,67.42,3,45
2025-07-14,West,Food,51.33,3,75
2025-07-15,East,Books,116.03,7,37
2025-07-16,East,Books,117.6,2,65
2025-07-17,East,Clothing,61.79,5,9
2025-07-18,West,Food,244.7,5,17
2025-07-19,South,Food,110.63,3,65
2025-07-20,South,Electronics,53.95,4,3
2025-07-21,West,Books,21.24,1,26
2025-07-22,East,Food,107.18,4,53
2025-07-23,East,Clothing,142.09,5,31
2025-07-24,South,Clothing,67.42,3,26
2025-07-25,East,Books,124.66,5,23
2025-07-26,North,Clothing,314.64,1,30
2025-07-27,South,Clothing,161.12,3,10
2025-07-28,East,Books,8.76,5,72
2025-07-29,South,Food,49.09,5,89
2025-07-30,North,Food,81.04,3,64
2025-07-31,South,Clothing,124.96,4,22
2025-08-01,South,Clothing,96.69,5,15
2025-08-02,South,Food,139.39,5,56
2025-08-03,South,Books,83.62,4,74
2025-08-04,North,Clothing,121.73,4,20
2025-08-05,West,Electronics,206.15,4,47
2025-08-06,South,Books,115.22,3,87
2025-08-07,South,Clothing,36.49,4,53
2025-08-08,East,Clothing,123.65,5,53
2025-08-09,South,Electronics,111.39,6,1
2025-08-10,East,Electronics,12.57,6,2
2025-08-11,West,Food,135.77,2,58
2025-08-12,North,Books,48.48,6,19
2025-08-13,North,Books,237.52,5,62
2025-08-14,West,Food,150.3,3,78
2025-08-15,North,Books,36.28,3,72
2025-08-16,West,Books,189.68,2,12
2025-08-17,West,Books,288.18,4,26
2025-08-18,West,Books,86.33,6,27
2025-08-19,North,Books,100.35,2,29
2025-08-20,East,Electronics,178.97,3,15
2025-08-21,West,Books,271.87,4,46
2025-08-22,South,Electronics,21.88,4,1
2025-08-23,North,Books,33.15,4,60
2025-08-24,West,Food,84.32,4,92
2025-08-25,West,Clothing,82.55,6,57
2025-08-26,South,Electronics,205.49,5,3
2025-08-27,East,Books,242.83,4,18
2025-08-28,East,Food,249.55,6,52
2025-08-29,East,Clothing,21.95,5,60
2025-08-30,West,Electronics,46.59,2,34
2025-08-31,West,Clothing,72.02,4,96
2025-09-01,West,Food,51.22,4,93
2025-09-02,North,Electronics,143.07,2,89
2025-09-03,South,Clothing,142.9,6,60
2025-09-04,West,Books,107.74,4,26
2025-09-05,South,Electronics,90.4,3,72
2025-09-06,South,Clothing,62.87,4,19
2025-09-07,East,Food,76.93,4,22
2025-09-08,North,Food,235.73,4,93
2025-09-09,West,Electronics,203.87,2,33
2025-09-10,East,Clothing,94.29,6,38
2025-09-11,East,Electronics,91.73,2,35
2025-09-12,West,Electronics,157.84,5,67
2025-09-13,South,Clothing,32.35,3,83
2025-09-14,East,Clothing,124.08,4,10
2025-09-15,South,Books,184.71,5,91
2025-09-16,North,Clothing,176.84,4,15
2025-09-17,South,Food,50.55,9,11
2025-09-18,North,Electronics,68.66,3,90
2025-09-19,South,Electronics,11.04,3,24
2025-09-20,East,Food,211.62,2,77
2025-09-21,East,Clothing,305.6,2,96
2025-09-22,North,Food,48.11,6,4
2025-09-23,West,Food,234.72,3,13
2025-09-24,North,Books,382.29,1,73
2025-09-25,North,Food,60.18,3,57
2025-09-26,South,Electronics,112.66,6,98
2025-09-27,South,Food,109.94,5,37
2025-09-28,North,Electronics,153.84,5,48
2025-09-29,East,Electronics,116.51,5,71
2025-09-30,South,Electronics,69.82,5,1
2025-10-01,West,Clothing,165.82,2,60
2025-10-02,South,Books,74.55,4,12
2025-10-03,South,Electronics,118.94,2,21
2025-10-04,West,Electronics,88.42,5,11
2025-10-05,North,Clothing,16.06,5,44
2025-10-06,West,Electronics,267.75,4,58
2025-10-07,North,Food,73.16,4,44
2025-10-08,North,Food,215.98,4,78
2025-10-09,North,Books,205.54,5,98
2025-10-10,West,Electronics,103.53,3,34
2025-10-11,North,Clothing,122.71,4,25
2025-10-12,East,Food,176.08,5,4
2025-10-13,West,Clothing,92.69,6,64
2025-10-14,East,Clothing,79.97,3,90
2025-10-15,North,Food,142.76,3,16
2025-10-16,South,Clothing,83.11,2,10
2025-10-17,North,Food,86.02,3,66
2025-10-18,East,Clothing,63.57,5,35
2025-10-19,East,Food,120.08,3,83
2025-10-20,West,Electronics,54.75,3,6
2025-10-21,South,Books,218.45,5,19
2025-10-22,West,Food,235.93,4,59
2025-10-23,East,Food,146.43,5,53
2025-10-24,North,Books,142.98,2,8
